POLICE DEPARTMENT.,,,,,,,,,,,,DISCIPLINE BRANCH.,,,
,,,PUNISHMENT AWARDED TO POLICE PERSONNEL DURING 2016.,,,,,,,,,,,,
,,,,,MAJOR.,,,,,,,MINOR.,,,
,,,Dismissal,Removal,Compulsory,Forfeiture of,Reduction,Recovery,With-,With-,Reduction,Censure,Extra,Fine.,Total.
,,,,from,retirement.,approved,in,from pay/,holding of,holding of,to lower,,drill,,
,,,,service.,,service.,pay/rank.,pension.,increment,promotion,stage or,,quarter,,
,,,,,,,,,,,stages in,,guard.,,
Rank.,Grounds.,,,,,,,,,,pay scale.,,,,
,Torture.,,0,0,0,0,0,0,0,0,0,0,0,0,0
,Death in custody.,,0,0,0,4,2,0,1,4,0,62,0,2,75
,Corruption.,,99,1,1,19,10,21,10,5,5,33,5,23,232
,Absence from duty.,,1291,49,55,1813,161,134,401,50,164,7704,682,10548,23052
,Negligence.,,212,0,8,770,125,8,141,32,46,1963,67,1289,4661
,Criminal case.,,141,6,8,50,14,8,6,11,13,968,6,203,1434
,(Any other reasons):-,Inefficiency.,,,,,,,,,,,,,
Constable.,,,302,13,50,863,68,10,168,49,38,2011,45,1628,5245
,Poor performance.,,4,0,0,6,0,0,0,0,5,32,0,25,72
,Lack of supervision/interest in official duty.,,,,,,,,,,,,,,
,,,7,0,0,9,0,0,1,3,0,31,1,7,59
,Misuse of official powers.,,41,0,1,47,7,0,5,2,8,20,0,14,145
,Failed to control crime.,,1,0,0,0,0,0,0,1,0,2,0,6,10
,Disobeying the orders of seniors/Courts.,,,,,,,,,,,,,,
,,,4,0,0,37,1,0,2,5,9,53,4,149,264
,Misbehaviour.,,3,0,3,16,2,0,8,0,3,6,0,3,44
,Delay in registration of FIR.,,0,0,0,1,0,0,0,1,0,0,0,0,2
,Delay in submission of challan/investigation.,,,,,,,,,,,,,,
,,,1,0,0,1,0,0,0,0,2,0,0,2,6
,Failed to recover case-property.,,0,0,0,0,0,0,0,0,0,0,0,0,0
,Faulty investigation.,,2,0,0,1,0,0,0,0,0,0,0,0,3
,Escape of accused.,,6,0,6,18,1,0,2,0,3,3,0,0,39
,Failed to arrest accused/P.Os/T.Os/C.As.,,,,,,,,,,,,,,
,,,1,0,0,0,0,0,0,0,0,0,0,0,1
,Illegal confinement.,,2,0,0,0,0,0,0,2,0,0,0,0,4
,TOTAL.,,2117,69,132,3655,391,181,745,165,296,12888,810,13899,35348
